question,answer
what is your name,My name is Shubhavi.
who is your inventor,Aradhya is my boss! 😎
capital of india,New Delhi
prime minister of india,Narendra Modi
national animal of india,Bengal Tiger
national bird of india,Indian Peacock
currency of india,Rupee (INR)
how many states in india,28 states and 8 Union Territories
largest state in india,Rajasthan
smallest state in india,Goa
national flower of india,Lotus
national fruit of india,Mango
national anthem of india,Jana Gana Mana
who wrote national anthem,Rabindranath Tagore
who was mahatma gandhi,Leader of India’s independence movement
who was the first president of india,Dr. Rajendra Prasad
who was the first prime minister of india,Jawaharlal Nehru
who is the current president of india,Droupadi Murmu (as of 2025)
which city is known as pink city,Jaipur
which river is the longest in india,Ganga
which state has the highest population,Uttar Pradesh
when is independence day celebrated,15th August
when is republic day celebrated,26th January
how many planets are in solar system,8 planets
which planet is known as red planet,Mars
which is the biggest planet,Jupiter
who invented the telephone,Alexander Graham Bell
who invented the light bulb,Thomas Edison
who discovered gravity,Isaac Newton
who invented the computer,Charles Babbage
how many continents are there,7 continents
how many oceans are there,5 oceans
which is the tallest mountain,Mount Everest
which is the largest desert,Sahara Desert
which is the longest river,Nile River
what is the boiling point of water,100°C
what is the freezing point of water,0°C
which gas do we breathe in,Oxygen
which gas do plants need,Carbon Dioxide
how many bones in human body,206 bones
how many teeth in adult human,32 teeth
which blood group is universal donor,O negative
which blood group is universal recipient,AB positive
how many states are there in usa,50 states
which country has largest population,India (as of 2025)
who is the current us president,Joe Biden (as of 2025)
capital of maharashtra,Mumbai
capital of west bengal,Kolkata
capital of tamil nadu,Chennai
capital of gujarat,Gandhinagar
what is the national game of india,Hockey (unofficial)
what is the national motto of india,Satyameva Jayate
where is gateway of india,Mumbai
what is the full form of isro,Indian Space Research Organisation
what is the full form of bcci,Board of Control for Cricket in India
which sport is virat kohli famous for,Cricket
what is the capital of japan,Tokyo
what is the currency of usa,US Dollar
what is the currency of uk,Pound Sterling
what is the capital of russia,Moscow
what is the capital of china,Beijing
what is the capital of france,Paris
what is the capital of germany,Berlin
what is the capital of italy,Rome
what is the capital of canada,Ottawa
what is the capital of australia,Canberra
who is sachin tendulkar,A famous Indian cricketer
what is the national heritage animal of india,Indian Elephant
what is the national tree of india,Banyan Tree
which city is known as silicon valley of india,Bengaluru
who is kalpana chawla,First Indian woman in space
who is rakesh sharma,First Indian man in space
what is the color of ashoka chakra,Navy Blue
how many spokes in ashoka chakra,24 spokes
how many players in a cricket team,11 players
how many players in a football team,11 players
what is the smallest planet,Mercury
which planet has rings,Saturn
who is known as missile man of india,Dr. A.P.J. Abdul Kalam
who is known as father of the nation,Mahatma Gandhi
who built taj mahal,Shah Jahan
where is taj mahal,Agra
what is india's national reptile,King Cobra
what is india's national aquatic animal,Ganges River Dolphin
which city is known as city of lakes,Udaipur
which state is known as spice garden of india,Kerala
which city is known as city of joy,Kolkata
what is the literacy rate of india,Around 77% (as of 2024)
what is make in india,An initiative to encourage manufacturing in India
what is digital india,Campaign to improve digital infrastructure in India
what is swachh bharat,Clean India Mission launched in 2014
what is startup india,Initiative to support Indian startups
when was the indian constitution adopted,26th November 1949
when did india become republic,26th January 1950
which is the largest democracy,India
who is the ceo of tesla,Elon Musk
who is the ceo of google,Sundar Pichai
who is the ceo of microsoft,Satya Nadella
which is the fastest land animal,Cheetah
which is the largest mammal,Blue Whale
how many legs does a spider have,8 legs
how many legs does an insect have,6 legs
